id,label,path
bedt_0.jpg,bed,images/bedt_0.jpg
bedt_1.jpg,bed,images/bedt_1.jpg
bedt_2.jpg,bed,images/bedt_2.jpg
bedt_3.jpg,bed,images/bedt_3.jpg
bedt_4.jpg,bed,images/bedt_4.jpg
bedt_5.jpg,bed,images/bedt_5.jpg
bedt_6.jpg,bed,images/bedt_6.jpg
bedt_7.jpg,bed,images/bedt_7.jpg
bedt_8.jpg,bed,images/bedt_8.jpg
bedt_9.jpg,bed,images/bedt_9.jpg
bedt_10.jpg,bed,images/bedt_10.jpg
bedt_11.jpg,bed,images/bedt_11.jpg
bedt_12.jpg,bed,images/bedt_12.jpg
bedt_13.jpg,bed,images/bedt_13.jpg
bedt_14.jpg,bed,images/bedt_14.jpg
bedt_15.jpg,bed,images/bedt_15.jpg
bedt_16.jpg,bed,images/bedt_16.jpg
bedt_17.jpg,bed,images/bedt_17.jpg
bedt_18.jpg,bed,images/bedt_18.jpg
bedt_19.jpg,bed,images/bedt_19.jpg
bedt_20.jpg,bed,images/bedt_20.jpg
bedt_21.jpg,bed,images/bedt_21.jpg
bedt_22.jpg,bed,images/bedt_22.jpg
bedt_23.jpg,bed,images/bedt_23.jpg
bedt_24.jpg,bed,images/bedt_24.jpg
bedt_25.jpg,bed,images/bedt_25.jpg
bedt_26.jpg,bed,images/bedt_26.jpg
bedt_27.jpg,bed,images/bedt_27.jpg
bedt_28.jpg,bed,images/bedt_28.jpg
bedt_29.jpg,bed,images/bedt_29.jpg
bedt_30.jpg,bed,images/bedt_30.jpg
bedt_31.jpg,bed,images/bedt_31.jpg
bedt_32.jpg,bed,images/bedt_32.jpg
bedt_33.jpg,bed,images/bedt_33.jpg
bedt_34.jpg,bed,images/bedt_34.jpg
bedt_35.jpg,bed,images/bedt_35.jpg
bedt_36.jpg,bed,images/bedt_36.jpg
bedt_37.jpg,bed,images/bedt_37.jpg
bedt_38.jpg,bed,images/bedt_38.jpg
bedt_39.jpg,bed,images/bedt_39.jpg
